ImageId,WKT_Pix
AOI_2_Vegas_img885,"LINESTRING (1300.00 662.42, 1231.00 657.56, 1145.83 659.57, 614.48 673.81, 324.44 677.31, 0.00 691.09)"
AOI_2_Vegas_img885,"LINESTRING (314.59 1300.00, 315.13 1229.58, 324.44 677.31, 327.09 327.01, 585.36 325.30, 1145.53 319.63)"
AOI_2_Vegas_img885,"LINESTRING (327.09 327.01, 323.18 0.00)"
AOI_2_Vegas_img885,"LINESTRING (911.19 1138.18, 611.40 1139.32, 586.99 1116.60, 407.11 1124.05, 380.50 1154.92, 380.50 1221.98, 383.69 1293.29, 387.33 1300.00)"
AOI_2_Vegas_img885,"LINESTRING (437.92 1300.00, 474.45 1282.97)"
AOI_2_Vegas_img885,"LINESTRING (1145.53 319.63, 1145.83 659.57, 1141.16 1300.00)"
AOI_2_Vegas_img885,"LINESTRING (1145.53 319.63, 1142.97 0.00)"
AOI_2_Vegas_img954,"LINESTRING (0.00 71.52, 8.99 71.46)"
AOI_2_Vegas_img954,"LINESTRING (0.00 329.52, 1.79 329.55)"
AOI_2_Vegas_img954,"LINESTRING (8.99 71.46, 7.96 108.40, 2.62 299.86, 1.79 329.55, 0.00 393.47)"
AOI_2_Vegas_img954,"LINESTRING (833.43 308.34, 554.19 303.07, 335.26 302.02, 2.62 299.86)"
AOI_2_Vegas_img954,"LINESTRING (837.48 118.01, 530.92 115.88, 171.34 106.36, 7.96 108.40)"
AOI_2_Vegas_img954,"LINESTRING (8.99 71.46, 10.81 0.00)"
AOI_2_Vegas_img954,"LINESTRING (224.74 976.76, 326.27 978.88, 476.45 955.61, 611.83 936.57, 818.49 938.77)"
AOI_2_Vegas_img954,"LINESTRING (837.48 118.01, 834.98 242.79, 833.43 308.34, 818.49 938.77, 817.22 992.64, 809.93 1300.00)"
AOI_2_Vegas_img954,"LINESTRING (817.22 992.64, 1300.00 992.27)"
AOI_2_Vegas_img954,"LINESTRING (837.48 118.01, 839.54 0.00)"
AOI_2_Vegas_img954,"LINESTRING (1300.00 316.77, 1296.62 316.82)"
AOI_2_Vegas_img1116,"LINESTRING (174.69 323.51, 0.00 434.16)"
AOI_2_Vegas_img1116,"LINESTRING (0.00 518.27, 209.82 396.43, 280.61 381.52, 188.00 327.77, 174.69 323.51, 152.87 269.22, 137.82 233.54, 124.13 201.09, 17.68 108.48)"
AOI_2_Vegas_img1116,"LINESTRING (0.00 841.36, 106.03 789.76, 366.30 646.05, 408.88 590.70, 414.20 535.34, 370.56 484.25, 280.61 381.52, 379.12 313.93, 418.21 304.29, 474.16 354.02, 527.40 375.50)"
AOI_2_Vegas_img1116,"LINESTRING (0.00 936.47, 78.36 884.50, 295.51 767.40, 526.19 692.42, 610.60 665.21, 673.65 636.53, 756.51 626.90, 906.79 606.72, 1130.35 588.62, 1300.00 592.17)"
AOI_2_Vegas_img1116,"LINESTRING (0.00 1000.81, 186.94 893.01, 320.42 822.93, 357.25 803.59, 554.40 736.06, 568.02 731.21, 708.31 674.49, 809.31 684.84, 922.22 662.61, 1226.70 645.57, 1300.00 646.81)"
AOI_2_Vegas_img1116,"LINESTRING (27.81 1300.00, 0.00 1268.04)"
