ImageId,WKT_Pix
AOI_3_Paris_img167,"LINESTRING (0.00 1041.94, 18.79 1030.77, 89.31 1012.54, 227.99 1007.79, 371.43 987.98, 484.75 942.02, 592.52 861.98, 702.67 787.49, 827.88 743.90, 1120.30 673.37, 1300.00 650.74)"
AOI_3_Paris_img237,"LINESTRING (223.08 589.47, 140.98 424.64, 89.95 409.90, 0.00 383.25)"
AOI_3_Paris_img237,"LINESTRING (0.00 652.41, 61.04 635.81, 223.08 589.47)"
AOI_3_Paris_img237,"LINESTRING (1300.00 172.19, 1024.41 191.34, 877.33 196.42, 763.22 211.63, 693.48 228.75, 644.03 250.94, 590.14 284.54, 325.78 562.21, 223.08 589.47)"
AOI_3_Paris_img119,LINESTRING EMPTY
AOI_3_Paris_img256,"LINESTRING (1300.00 493.84, 1284.02 501.86, 1052.62 595.69, 913.78 659.09, 828.83 680.64, 649.42 747.84, 357.80 861.95, 173.31 936.13, 0.24 993.82, 0.00 993.87)"
AOI_3_Paris_img362,"LINESTRING (91.76 0.00, 80.74 10.58, 13.14 69.87, 0.00 78.14)"
AOI_3_Paris_img362,"LINESTRING (959.25 1057.09, 892.69 1052.33, 844.38 1041.77, 718.58 996.87, 618.95 956.60, 624.99 936.13, 649.32 902.32, 667.26 877.37, 683.36 835.78, 626.00 812.67, 561.45 785.32, 512.28 764.48, 490.69 756.29, 338.18 698.46, 214.39 654.22)"
AOI_3_Paris_img362,"LINESTRING (463.16 900.75, 503.22 859.55, 552.53 794.85, 561.45 785.32)"
AOI_3_Paris_img362,"LINESTRING (626.00 812.67, 581.72 867.47, 539.45 915.01, 497.18 915.01, 463.16 900.75, 424.72 884.64, 394.53 872.09, 443.85 806.73, 490.69 756.29)"
AOI_3_Paris_img362,"LINESTRING (959.25 1057.09, 946.34 1035.30, 908.93 1006.77, 850.42 984.33, 774.94 953.30, 695.44 921.61, 649.32 902.32)"
AOI_3_Paris_img362,"LINESTRING (761.41 189.42, 935.04 251.30, 1163.35 12.18, 1174.74 0.00)"
AOI_3_Paris_img362,"LINESTRING (834.31 1300.00, 868.20 1259.40, 910.04 1218.19, 965.20 1164.94, 1022.89 1123.73)"
AOI_3_Paris_img362,"LINESTRING (879.86 1300.00, 900.85 1279.69, 919.11 1260.05, 925.89 1252.75, 967.73 1187.13, 1006.72 1146.87, 1022.89 1123.73)"
AOI_3_Paris_img362,"LINESTRING (999.36 1300.00, 984.22 1294.50, 971.14 1289.75, 919.11 1260.05)"
AOI_3_Paris_img362,"LINESTRING (959.25 1057.09, 1054.11 1092.99)"
AOI_3_Paris_img362,"LINESTRING (984.22 1294.50, 974.75 1300.00)"
