ImageId,WKT_Pix
AOI_4_Shanghai_img725,"LINESTRING (91.37 210.49, 0.00 163.47)"
AOI_4_Shanghai_img725,"LINESTRING (0.00 497.91, 15.63 457.86, 77.07 294.18, 99.05 238.17, 100.38 234.46)"
AOI_4_Shanghai_img725,"LINESTRING (856.95 1300.00, 846.45 1292.65, 705.55 1203.66, 482.02 1058.52, 402.67 1007.38, 265.91 919.22, 3.71 749.19, 0.00 746.83)"
AOI_4_Shanghai_img725,"LINESTRING (91.37 210.49, 131.10 229.69, 224.86 277.23, 299.28 315.77, 415.54 375.36, 537.11 438.39, 594.31 465.40, 620.03 477.60)"
AOI_4_Shanghai_img725,"LINESTRING (184.50 0.00, 142.22 95.02, 91.37 210.49)"
AOI_4_Shanghai_img725,"LINESTRING (346.82 0.00, 333.97 28.28, 264.05 184.01, 224.86 277.23)"
AOI_4_Shanghai_img725,"LINESTRING (402.67 1007.38, 438.06 931.93, 475.66 845.06, 510.62 752.89, 576.31 579.15, 613.38 481.16, 620.03 477.60, 628.21 473.22, 654.17 410.18, 738.39 217.38, 812.55 52.64, 836.51 0.00)"
AOI_4_Shanghai_img725,"LINESTRING (812.55 52.64, 767.52 37.94, 653.64 3.51, 628.21 60.19, 566.24 215.39)"
AOI_4_Shanghai_img725,"LINESTRING (628.21 473.22, 821.55 573.99, 866.05 602.06, 996.35 669.33, 1026.54 683.11, 1131.95 740.84, 1221.82 788.15, 1238.68 805.46, 1296.42 835.13, 1300.00 836.71)"
AOI_4_Shanghai_img725,"LINESTRING (1072.82 0.00, 1059.91 39.53, 978.34 215.39, 944.44 289.55, 951.86 309.67, 940.20 340.40, 868.16 479.18, 821.55 573.99)"
AOI_4_Shanghai_img725,"LINESTRING (976.56 1300.00, 1016.48 1222.99, 1021.65 1211.91, 1093.81 1057.20, 1153.67 932.46, 1207.17 819.63, 1221.82 788.15, 1278.15 667.08, 1300.00 620.88)"
AOI_4_Shanghai_img725,"LINESTRING (1297.10 1300.00, 1271.52 1291.72, 1255.22 1286.62, 1115.80 1242.99, 1021.65 1211.91)"
AOI_4_Shanghai_img725,"LINESTRING (1026.54 683.11, 1077.92 571.87, 1161.08 392.31, 1225.18 256.71, 1258.55 182.55, 1256.43 159.77)"
AOI_4_Shanghai_img725,"LINESTRING (1091.69 280.54, 1171.15 305.44, 1189.69 283.72, 1225.18 201.62, 1249.54 168.25, 1256.43 159.77, 1286.62 92.50, 1300.00 65.91)"
AOI_4_Shanghai_img725,"LINESTRING (1112.99 0.00, 1230.21 34.63, 1300.00 56.91)"
AOI_4_Shanghai_img725,"LINESTRING (1300.00 1225.14, 1281.56 1221.01, 1255.22 1286.62)"
AOI_4_Shanghai_img1061,"LINESTRING (187.80 1300.00, 152.49 1150.28, 147.91 1130.87, 87.00 877.86, 61.60 773.20, 60.05 766.66, 43.26 695.94, 35.40 663.17, 28.51 633.25, 13.69 568.85, 0.00 501.74)"
AOI_4_Shanghai_img1061,"LINESTRING (0.00 641.07, 28.51 633.25)"
AOI_4_Shanghai_img1061,"LINESTRING (0.00 706.81, 43.26 695.94)"
AOI_4_Shanghai_img1061,"LINESTRING (39.57 1133.74, 0.74 955.51, 0.00 955.64)"
AOI_4_Shanghai_img1061,"LINESTRING (0.00 1225.39, 18.16 1221.86, 40.57 1174.07, 152.49 1150.28)"
AOI_4_Shanghai_img1061,"LINESTRING (49.05 1300.00, 40.07 1267.66)"
AOI_4_Shanghai_img1061,"LINESTRING (60.05 766.66, 132.15 758.86, 270.00 734.95, 278.86 733.41, 379.16 707.46, 476.47 679.51, 490.95 660.55, 495.44 640.59, 491.94 611.65, 389.64 397.06, 377.67 383.59, 354.71 373.11, 324.77 370.62, 279.36 374.61, 215.30 385.01, 187.65 389.50, 85.74 406.05, 79.75 362.13, 176.41 342.84, 187.65 389.50)"
AOI_4_Shanghai_img1061,"LINESTRING (87.00 877.86, 230.20 844.54, 268.19 835.71, 421.17 787.00, 583.65 740.10, 602.65 759.94, 614.25 785.20, 615.31 803.24, 604.76 816.76, 596.23 821.02, 566.77 835.71, 474.98 866.37, 437.00 881.71, 470.76 939.43, 500.30 1011.59, 539.34 1099.08, 580.49 1193.79, 628.80 1300.00)"
AOI_4_Shanghai_img1061,"LINESTRING (215.30 385.01, 270.00 734.95)"
AOI_4_Shanghai_img1061,"LINESTRING (230.20 844.54, 253.15 917.11, 306.96 918.01, 437.00 881.71)"
AOI_4_Shanghai_img1061,"LINESTRING (346.38 1034.87, 281.64 1052.40)"
AOI_4_Shanghai_img1061,"LINESTRING (306.96 918.01, 342.83 1024.44, 346.38 1034.87, 367.10 1095.70, 380.61 1127.76, 432.45 1250.78, 437.79 1263.46, 453.57 1300.00)"
AOI_4_Shanghai_img1061,"LINESTRING (380.61 1127.76, 315.40 1154.33)"
AOI_4_Shanghai_img1061,"LINESTRING (432.45 1250.78, 329.12 1283.31, 333.83 1300.00)"
AOI_4_Shanghai_img1061,"LINESTRING (804.91 1300.00, 780.95 1248.81, 770.40 1185.67, 725.03 1083.75, 703.93 1032.33, 596.23 821.02)"
AOI_4_Shanghai_img1061,"LINESTRING (1300.00 694.63, 923.60 816.50)"
AOI_4_Shanghai_img1061,"LINESTRING (978.49 509.10, 1281.43 421.53)"
AOI_4_Shanghai_img1061,"LINESTRING (1300.00 457.30, 1281.43 421.53, 1210.04 284.04, 1155.65 198.70, 1100.75 75.44)"
AOI_4_Shanghai_img1061,"LINESTRING (1244.91 1300.00, 1126.75 1037.07, 1197.44 1012.72)"
AOI_4_Shanghai_img1061,"LINESTRING (1300.00 984.29, 1266.82 994.23, 1255.47 997.38, 1300.00 1093.60)"
AOI_4_Shanghai_img1173,"LINESTRING (0.00 357.89, 114.34 245.03, 313.08 75.23, 333.85 57.48, 396.56 0.00)"
AOI_4_Shanghai_img1173,"LINESTRING (1142.45 1300.00, 1053.79 1231.59, 988.35 1176.06, 859.51 1066.74, 799.42 1018.97, 774.90 999.47, 588.69 851.43, 359.08 664.72, 232.45 567.55, 153.03 506.60, 120.62 480.84, 0.00 384.94)"
AOI_4_Shanghai_img1173,"LINESTRING (375.76 375.79, 282.03 476.06, 270.04 527.29, 232.45 567.55, 109.82 665.71, 0.00 725.24)"
AOI_4_Shanghai_img1173,"LINESTRING (138.35 1300.00, 0.00 1179.45)"
AOI_4_Shanghai_img1173,"LINESTRING (109.82 665.71, 157.23 749.09, 160.50 801.40, 192.11 881.51, 288.57 850.45)"
AOI_4_Shanghai_img1173,"LINESTRING (641.69 0.00, 510.47 126.45, 120.62 480.84)"
AOI_4_Shanghai_img1173,"LINESTRING (358.32 1055.90, 323.99 1010.66, 304.92 959.44, 183.39 995.95)"
AOI_4_Shanghai_img1173,"LINESTRING (222.03 0.00, 313.08 75.23)"
AOI_4_Shanghai_img1173,"LINESTRING (1206.02 270.27, 843.12 611.91, 588.69 851.43, 358.32 1055.90, 291.84 1114.75, 288.02 1131.10, 288.02 1146.90, 299.47 1170.34, 315.81 1188.32, 451.64 1300.00)"
AOI_4_Shanghai_img1173,"LINESTRING (774.90 999.47, 544.70 1222.11)"
AOI_4_Shanghai_img1173,"LINESTRING (799.42 1018.97, 880.44 938.50, 947.96 871.43)"
AOI_4_Shanghai_img1173,"LINESTRING (843.12 611.91, 964.86 724.02, 1300.00 994.10)"
AOI_4_Shanghai_img1173,"LINESTRING (852.16 0.00, 890.63 32.25, 1206.02 270.27)"
AOI_4_Shanghai_img1173,"LINESTRING (855.72 1300.00, 988.35 1176.06)"
AOI_4_Shanghai_img1173,"LINESTRING (880.44 938.50, 973.58 1012.03, 983.38 1019.11, 995.37 1009.30, 1092.38 905.76)"
