ImageId,WKT_Pix
AOI_5_Khartoum_img178,"LINESTRING (0.00 447.32, 5.86 433.81, 2.20 130.00, 10.55 0.00)"
AOI_5_Khartoum_img178,"LINESTRING (43.68 1034.71, 30.26 954.79, 0.00 829.43)"
AOI_5_Khartoum_img178,"LINESTRING (43.68 1034.71, 0.00 1048.18)"
AOI_5_Khartoum_img178,"LINESTRING (461.15 819.89, 451.20 823.63, 309.66 905.38, 168.13 978.58, 43.68 1034.71)"
AOI_5_Khartoum_img178,"LINESTRING (580.30 408.77, 574.37 381.78, 522.43 278.98, 478.07 234.62, 396.91 217.30, 328.74 203.24)"
AOI_5_Khartoum_img178,"LINESTRING (461.15 819.89, 543.86 943.77, 554.68 1207.79, 554.68 1300.00)"
AOI_5_Khartoum_img178,"LINESTRING (643.58 751.35, 461.15 819.89)"
AOI_5_Khartoum_img178,"LINESTRING (587.65 441.76, 580.30 408.77)"
AOI_5_Khartoum_img178,"LINESTRING (587.65 441.76, 656.04 404.45, 794.54 353.59, 848.64 291.92, 830.25 236.73, 782.64 207.52, 732.86 194.53, 678.76 212.93, 627.91 264.87, 621.41 313.56, 613.84 392.00, 580.30 408.77)"
AOI_5_Khartoum_img178,"LINESTRING (643.58 751.35, 603.59 513.79, 587.65 441.76)"
AOI_5_Khartoum_img178,"LINESTRING (1117.19 640.74, 967.30 661.36, 672.04 740.66, 643.58 751.35)"
AOI_5_Khartoum_img178,"LINESTRING (1117.19 640.74, 1108.87 516.98, 1112.65 426.09)"
AOI_5_Khartoum_img178,"LINESTRING (1289.41 625.36, 1197.91 629.63, 1117.19 640.74)"
AOI_5_Khartoum_img178,"LINESTRING (1300.00 9.63, 1268.46 6.80, 1261.30 0.00)"
AOI_5_Khartoum_img178,"LINESTRING (1289.41 625.36, 1296.73 903.55, 1300.00 1049.08)"
AOI_5_Khartoum_img178,"LINESTRING (1300.00 624.94, 1289.41 625.36)"
AOI_5_Khartoum_img375,"LINESTRING (0.00 16.35, 86.99 0.00)"
AOI_5_Khartoum_img375,"LINESTRING (0.00 119.52, 8.05 179.08)"
AOI_5_Khartoum_img375,"LINESTRING (0.00 397.96, 49.91 389.95)"
AOI_5_Khartoum_img375,"LINESTRING (0.00 612.30, 36.72 626.54)"
AOI_5_Khartoum_img375,"LINESTRING (0.00 696.35, 5.96 676.85, 36.72 626.54)"
AOI_5_Khartoum_img375,"LINESTRING (117.71 810.33, 0.00 827.76)"
AOI_5_Khartoum_img375,"LINESTRING (0.00 981.12, 11.80 1032.36)"
AOI_5_Khartoum_img375,"LINESTRING (0.00 1210.63, 33.63 1206.22)"
AOI_5_Khartoum_img375,"LINESTRING (49.91 389.95, 16.83 222.90, 8.05 179.08)"
AOI_5_Khartoum_img375,"LINESTRING (8.05 179.08, 191.52 152.53)"
AOI_5_Khartoum_img375,"LINESTRING (11.80 1032.36, 33.63 1206.22)"
AOI_5_Khartoum_img375,"LINESTRING (11.80 1032.36, 129.91 1007.82, 172.00 987.02, 354.62 957.26)"
AOI_5_Khartoum_img375,"LINESTRING (33.63 1206.22, 208.62 1183.26)"
AOI_5_Khartoum_img375,"LINESTRING (36.72 626.54, 83.32 644.58)"
AOI_5_Khartoum_img375,"LINESTRING (49.91 389.95, 44.07 432.12, 83.32 644.58)"
AOI_5_Khartoum_img375,"LINESTRING (83.32 644.58, 117.71 810.33)"
AOI_5_Khartoum_img375,"LINESTRING (268.02 609.09, 83.32 644.58)"
AOI_5_Khartoum_img375,"LINESTRING (117.71 810.33, 324.65 778.41)"
AOI_5_Khartoum_img375,"LINESTRING (129.91 1007.82, 208.62 1183.26)"
AOI_5_Khartoum_img375,"LINESTRING (191.52 152.53, 268.02 609.09)"
AOI_5_Khartoum_img375,"LINESTRING (191.52 152.53, 362.04 127.85)"
AOI_5_Khartoum_img375,"LINESTRING (208.62 1183.26, 231.00 1300.00)"
AOI_5_Khartoum_img375,"LINESTRING (446.90 574.73, 268.02 609.09)"
AOI_5_Khartoum_img375,"LINESTRING (324.65 778.41, 354.62 957.26)"
AOI_5_Khartoum_img375,"LINESTRING (324.65 778.41, 671.05 724.98)"
AOI_5_Khartoum_img375,"LINESTRING (354.62 957.26, 381.21 1116.96)"
AOI_5_Khartoum_img375,"LINESTRING (697.68 901.54, 642.52 910.10, 354.62 957.26)"
AOI_5_Khartoum_img375,"LINESTRING (400.99 301.41, 385.15 287.77, 362.04 127.85)"
AOI_5_Khartoum_img375,"LINESTRING (362.04 127.85, 572.48 97.40, 771.59 62.18)"
AOI_5_Khartoum_img375,"LINESTRING (381.21 1116.96, 412.05 1300.00)"
AOI_5_Khartoum_img375,"LINESTRING (381.21 1116.96, 578.43 1094.26)"
AOI_5_Khartoum_img375,"LINESTRING (479.01 322.12, 434.13 329.94, 400.99 301.41)"
AOI_5_Khartoum_img375,"LINESTRING (400.99 301.41, 418.94 408.30)"
AOI_5_Khartoum_img375,"LINESTRING (418.94 408.30, 446.90 574.73)"
AOI_5_Khartoum_img375,"LINESTRING (418.94 408.30, 491.48 394.99)"
AOI_5_Khartoum_img375,"LINESTRING (466.24 571.27, 446.90 574.73)"
AOI_5_Khartoum_img375,"LINESTRING (529.59 388.00, 466.24 571.27)"
AOI_5_Khartoum_img375,"LINESTRING (616.24 542.19, 466.24 571.27)"
AOI_5_Khartoum_img375,"LINESTRING (479.01 322.12, 491.48 394.99)"
AOI_5_Khartoum_img375,"LINESTRING (557.07 308.53, 479.01 322.12)"
AOI_5_Khartoum_img375,"LINESTRING (491.48 394.99, 529.59 388.00)"
AOI_5_Khartoum_img375,"LINESTRING (557.07 308.53, 529.59 388.00)"
AOI_5_Khartoum_img375,"LINESTRING (563.80 98.65, 547.48 0.00)"
AOI_5_Khartoum_img375,"LINESTRING (566.47 276.74, 557.07 308.53)"
AOI_5_Khartoum_img375,"LINESTRING (566.47 276.74, 616.24 542.19)"
AOI_5_Khartoum_img375,"LINESTRING (794.18 239.44, 566.47 276.74)"
AOI_5_Khartoum_img375,"LINESTRING (578.43 1094.26, 594.32 1118.91, 604.38 1139.67, 604.70 1173.40, 597.89 1192.54, 591.08 1235.36, 594.42 1264.99)"
AOI_5_Khartoum_img375,"LINESTRING (578.43 1094.26, 704.49 1075.09)"
AOI_5_Khartoum_img375,"LINESTRING (594.42 1264.99, 596.59 1284.34, 590.98 1300.00)"
AOI_5_Khartoum_img375,"LINESTRING (725.41 1247.84, 646.64 1254.66, 594.42 1264.99)"
AOI_5_Khartoum_img375,"LINESTRING (671.05 724.98, 635.40 538.51, 616.24 542.19)"
AOI_5_Khartoum_img375,"LINESTRING (671.05 724.98, 672.32 739.88, 697.68 901.54)"
AOI_5_Khartoum_img375,"LINESTRING (870.11 699.31, 671.05 724.98)"
AOI_5_Khartoum_img375,"LINESTRING (704.49 1075.09, 725.41 1071.60, 697.68 901.54)"
AOI_5_Khartoum_img375,"LINESTRING (725.41 1247.84, 704.49 1075.09)"
AOI_5_Khartoum_img375,"LINESTRING (958.55 1222.01, 725.41 1247.84)"
AOI_5_Khartoum_img375,"LINESTRING (762.59 0.00, 771.59 62.18)"
AOI_5_Khartoum_img375,"LINESTRING (771.59 62.18, 794.51 220.63, 794.18 239.44)"
AOI_5_Khartoum_img375,"LINESTRING (846.34 544.94, 794.18 239.44)"
AOI_5_Khartoum_img375,"LINESTRING (870.11 699.31, 846.34 544.94)"
AOI_5_Khartoum_img375,"LINESTRING (846.34 544.94, 1300.00 466.20)"
AOI_5_Khartoum_img375,"LINESTRING (870.11 699.31, 893.57 797.89)"
AOI_5_Khartoum_img375,"LINESTRING (893.57 797.89, 942.40 1103.04)"
AOI_5_Khartoum_img375,"LINESTRING (893.57 797.89, 1300.00 731.24)"
AOI_5_Khartoum_img375,"LINESTRING (942.40 1103.04, 958.55 1222.01)"
AOI_5_Khartoum_img375,"LINESTRING (1300.00 1044.80, 942.40 1103.04)"
AOI_5_Khartoum_img375,"LINESTRING (958.55 1222.01, 971.79 1300.00)"
AOI_5_Khartoum_img375,"LINESTRING (1263.49 211.18, 1225.73 0.00)"
AOI_5_Khartoum_img375,"LINESTRING (1295.64 400.64, 1265.39 222.88, 1263.49 211.18)"
AOI_5_Khartoum_img375,"LINESTRING (1300.00 206.12, 1263.49 211.18)"
AOI_5_Khartoum_img375,"LINESTRING (1300.00 426.28, 1295.64 400.64)"
AOI_5_Khartoum_img375,"LINESTRING (1295.64 400.64, 1300.00 400.00)"
AOI_5_Khartoum_img218,"LINESTRING (995.39 0.00, 1095.00 587.95, 1108.00 658.71, 1161.43 990.14, 1172.26 1052.96)"
AOI_5_Khartoum_img218,"LINESTRING (1210.68 1044.14, 1131.83 586.51, 1031.50 0.00)"
AOI_5_Khartoum_img218,"LINESTRING (1215.96 1300.00, 1172.26 1052.96)"
AOI_5_Khartoum_img218,"LINESTRING (1172.26 1052.96, 1210.68 1044.14)"
AOI_5_Khartoum_img218,"LINESTRING (1255.40 1300.00, 1242.30 1225.53, 1212.70 1055.85, 1210.68 1044.14)"
AOI_5_Khartoum_img238,"LINESTRING (0.00 256.38, 8.29 259.68)"
AOI_5_Khartoum_img238,"LINESTRING (0.00 534.13, 42.53 490.54, 80.09 469.55, 123.17 459.61, 290.51 528.92)"
AOI_5_Khartoum_img238,"LINESTRING (162.93 647.11, 126.48 649.32, 72.91 635.51, 0.56 607.90, 0.00 607.43)"
AOI_5_Khartoum_img238,"LINESTRING (93.70 899.01, 0.00 876.39)"
AOI_5_Khartoum_img238,"LINESTRING (0.00 1084.28, 40.70 1098.06)"
AOI_5_Khartoum_img238,"LINESTRING (40.70 1098.06, 0.00 1230.60)"
AOI_5_Khartoum_img238,"LINESTRING (0.00 1247.33, 111.31 1281.58)"
AOI_5_Khartoum_img238,"LINESTRING (40.70 1098.06, 80.64 1111.59, 160.68 1131.41)"
AOI_5_Khartoum_img238,"LINESTRING (221.58 934.99, 136.98 909.45, 93.70 899.01)"
AOI_5_Khartoum_img238,"LINESTRING (162.93 647.11, 120.96 777.73, 93.70 899.01)"
AOI_5_Khartoum_img238,"LINESTRING (106.02 1300.00, 111.31 1281.58)"
